metodo,BestSum,CFR,CIFE,CMIM,DCSF,DISRWithMassive,FCBFDiscreteFilter,ICAP,IWFS,JMI,MIFS,MIM,MRI,MRMR,Melif,Mixed,STIR,TraceRatioFisher,WeightBased,anova,chi2_measure,f_ratio_measure,fechner_corr,generalizedCriteria,gini_index,information_gain,kendall_corr,laplacian_score,pearson_corr,reliefF_measure,spearman_corr,su_measure
BestSum,1.000,0.250,0.176,0.250,0.176,0.176,0.182,0.176,0.250,0.429,0.176,0.333,0.250,0.429,0.538,0.250,0.333,0.333,0.538,0.333,0.250,0.333,0.250,0.250,0.538,0.333,0.176,0.053,0.111,0.333,0.176,0.176
CFR,0.250,1.000,0.250,0.429,0.333,0.333,0.300,0.333,0.333,0.429,0.250,0.333,0.818,0.250,0.333,0.176,0.333,0.333,0.333,0.333,0.250,0.333,0.250,0.429,0.333,0.333,0.176,0.000,0.176,0.429,0.176,0.176
CIFE,0.176,0.250,1.000,0.250,0.250,0.111,0.083,0.429,0.111,0.111,0.176,0.111,0.250,0.053,0.333,0.429,0.176,0.111,0.429,0.111,0.111,0.111,0.429,0.429,0.333,0.111,0.538,0.250,0.538,0.176,0.538,0.111
CMIM,0.250,0.429,0.250,1.000,0.176,0.429,0.182,0.176,0.429,0.429,0.176,0.429,0.538,0.333,0.176,0.333,0.538,0.429,0.176,0.429,0.429,0.429,0.053,0.333,0.176,0.429,0.053,0.053,0.053,0.429,0.053,0.333
DCSF,0.176,0.333,0.250,0.176,1.000,0.176,0.182,0.250,0.176,0.250,0.429,0.176,0.333,0.333,0.250,0.250,0.176,0.176,0.333,0.176,0.176,0.176,0.333,0.333,0.250,0.176,0.250,0.250,0.176,0.250,0.250,0.111
DISRWithMassive,0.176,0.333,0.111,0.429,0.176,1.000,0.182,0.111,0.538,0.538,0.111,0.538,0.429,0.250,0.176,0.176,0.333,0.538,0.111,0.538,0.538,0.538,0.000,0.176,0.176,0.538,0.000,0.053,0.000,0.333,0.000,0.429
FCBFDiscreteFilter,0.182,0.300,0.083,0.182,0.182,0.182,1.000,0.083,0.182,0.182,0.182,0.182,0.182,0.083,0.182,0.083,0.083,0.182,0.182,0.182,0.182,0.182,0.083,0.182,0.182,0.182,0.083,0.000,0.083,0.083,0.083,0.083
ICAP,0.176,0.333,0.429,0.176,0.250,0.111,0.083,1.000,0.111,0.176,0.250,0.111,0.333,0.176,0.176,0.250,0.176,0.111,0.250,0.111,0.111,0.111,0.333,0.250,0.176,0.111,0.333,0.333,0.429,0.250,0.333,0.111
IWFS,0.250,0.333,0.111,0.429,0.176,0.538,0.182,0.111,1.000,0.667,0.111,0.818,0.429,0.333,0.053,0.333,0.667,0.818,0.053,0.818,0.667,0.818,0.000,0.176,0.053,0.818,0.000,0.000,0.000,0.538,0.000,0.429
JMI,0.429,0.429,0.111,0.429,0.250,0.538,0.182,0.176,0.667,1.000,0.111,0.818,0.538,0.429,0.176,0.333,0.538,0.818,0.176,0.818,0.538,0.818,0.053,0.176,0.176,0.818,0.000,0.000,0.000,0.538,0.000,0.429
