metodo_a,metodo_b,jaccard,grupo
CFR,laplacian_score,0.000,mais_diversos
DISRWithMassive,fechner_corr,0.000,mais_diversos
DISRWithMassive,kendall_corr,0.000,mais_diversos
DISRWithMassive,pearson_corr,0.000,mais_diversos
DISRWithMassive,spearman_corr,0.000,mais_diversos
FCBFDiscreteFilter,laplacian_score,0.000,mais_diversos
IWFS,fechner_corr,0.000,mais_diversos
IWFS,kendall_corr,0.000,mais_diversos
IWFS,laplacian_score,0.000,mais_diversos
IWFS,pearson_corr,0.000,mais_diversos
IWFS,spearman_corr,0.000,mais_diversos
JMI,kendall_corr,0.000,mais_diversos
JMI,laplacian_score,0.000,mais_diversos
JMI,pearson_corr,0.000,mais_diversos
JMI,spearman_corr,0.000,mais_diversos
kendall_corr,spearman_corr,1.000,mais_redundantes
f_ratio_measure,information_gain,1.000,mais_redundantes
anova,information_gain,1.000,mais_redundantes
anova,f_ratio_measure,1.000,mais_redundantes
TraceRatioFisher,information_gain,1.000,mais_redundantes
TraceRatioFisher,f_ratio_measure,1.000,mais_redundantes
TraceRatioFisher,anova,1.000,mais_redundantes
Melif,gini_index,1.000,mais_redundantes
MIM,information_gain,1.000,mais_redundantes
MIM,f_ratio_measure,1.000,mais_redundantes
MIM,anova,1.000,mais_redundantes
MIM,TraceRatioFisher,1.000,mais_redundantes
pearson_corr,spearman_corr,0.818,mais_redundantes
kendall_corr,pearson_corr,0.818,mais_redundantes
fechner_corr,spearman_corr,0.818,mais_redundantes
