metodo,tipo,kuncheva,jaccard_medio,n_selecionadas
kendall_corr,score_function,1.0000,1.0000,5.00
pearson_corr,score_function,1.0000,1.0000,5.00
spearman_corr,score_function,1.0000,1.0000,5.00
TraceRatioFisher,standalone_selector,0.9675,0.9667,5.00
anova,score_function,0.9384,0.9368,5.00
fechner_corr,score_function,0.9128,0.9105,5.00
information_gain,score_function,0.9128,0.9105,5.00
CMIM,criterion_function,0.9128,0.9105,5.00
IWFS,criterion_function,0.8905,0.8877,5.00
MIM,criterion_function,0.8905,0.8877,5.00
JMI,criterion_function,0.8854,0.8825,5.00
Mixed,ensemble_selector,0.8563,0.8526,5.00
STIR,standalone_selector,0.8563,0.8526,5.00
chi2_measure,score_function,0.8409,0.8368,5.00
MRMR,criterion_function,0.8358,0.8316,5.00
f_ratio_measure,score_function,0.8101,0.8053,5.00
MIFS,criterion_function,0.8084,0.8130,5.00
reliefF_measure,score_function,0.7896,0.7842,5.00
DISRWithMassive,standalone_selector,0.7833,0.9091,10.00
su_measure,score_function,0.7605,0.7584,5.00
laplacian_score,score_function,0.7520,0.7516,5.00
MRI,criterion_function,0.6870,0.7058,5.00
generalizedCriteria,criterion_function,0.5176,0.5638,5.00
FCBFDiscreteFilter,standalone_selector,0.5152,0.4854,2.25
DCSF,criterion_function,0.4749,0.5372,5.00
CIFE,criterion_function,0.4389,0.5225,5.00
CFR,criterion_function,0.4201,0.5017,5.00
ICAP,criterion_function,0.4047,0.4969,5.00
BestSum,ensemble_selector,0.2457,0.3840,5.00
WeightBased,ensemble_selector,0.2303,0.3790,5.00
gini_index,score_function,0.1276,0.3216,5.00
Melif,hybrid_selector,0.1122,0.3148,5.00
